defect_id,machine_id,log_date,defect_count,defect_type
DEF-00001,M001,2025-05-01 08:10:00,6,Lead-Based Alloy
DEF-00002,M001,2025-05-01 08:35:00,11,Circuit Board
DEF-00003,M001,2025-05-01 09:15:00,16,Aluminum
DEF-00004,M001,2025-05-01 12:15:00,2,Coolant
DEF-00005,M001,2025-05-01 12:55:00,1,Polypropylene
DEF-00006,M001,2025-05-01 15:15:00,3,Aluminum
DEF-00007,M001,2025-05-01 18:35:00,11,Packaging
DEF-00008,M001,2025-05-01 20:20:00,22,Reprocessed Plastics
DEF-00009,M001,2025-05-01 20:55:00,7,Solvent
DEF-00010,M001,2025-05-01 23:15:00,33,Solvent
DEF-00011,M001,2025-05-02 00:20:00,17,Reprocessed Plastics
DEF-00012,M001,2025-05-02 01:25:00,4,Scrap Steel
DEF-00013,M001,2025-05-02 03:05:00,7,Industrial Oil
DEF-00014,M001,2025-05-02 03:10:00,19,Coolant
DEF-00015,M001,2025-05-02 04:05:00,16,Coolant
DEF-00016,M001,2025-05-02 04:10:00,6,Circuit Board
DEF-00017,M001,2025-05-02 05:35:00,4,Catalyst
DEF-00018,M001,2025-05-02 06:45:00,44,Coolant
DEF-00019,M001,2025-05-02 07:55:00,28,Solvent
DEF-00020,M001,2025-05-02 08:05:00,24,Reprocessed Plastics
DEF-00021,M001,2025-05-02 09:35:00,8,Machine Component
DEF-00022,M001,2025-05-02 10:30:00,19,Scrap Steel
DEF-00023,M001,2025-05-02 11:20:00,1,Reprocessed Plastics
DEF-00024,M001,2025-05-02 11:55:00,5,Solvent
DEF-00025,M001,2025-05-02 13:00:00,6,Cotton
DEF-00026,M001,2025-05-02 13:05:00,25,Textiles
DEF-00027,M001,2025-05-02 13:35:00,5,Cotton
DEF-00028,M001,2025-05-02 18:55:00,27,Circuit Board
DEF-00029,M001,2025-05-02 19:35:00,21,Plastic Resin
DEF-00030,M001,2025-05-02 19:40:00,18,Polypropylene
DEF-00031,M001,2025-05-02 20:20:00,22,Plastic Resin
DEF-00032,M001,2025-05-02 21:35:00,2,Reprocessed Plastics
DEF-00033,M001,2025-05-02 22:10:00,0,Textiles
DEF-00034,M001,2025-05-02 23:00:00,9,Plastic Resin
DEF-00035,M001,2025-05-02 23:05:00,6,Machine Component
DEF-00036,M001,2025-05-02 23:15:00,16,Aluminum
DEF-00037,M001,2025-05-02 23:35:00,9,Reprocessed Plastics
DEF-00038,M001,2025-05-03 00:00:00,18,Industrial Oil
DEF-00039,M001,2025-05-03 00:10:00,22,Textiles
DEF-00040,M001,2025-05-03 01:30:00,12,Cotton
DEF-00041,M001,2025-05-03 03:10:00,4,Packaging
DEF-00042,M001,2025-05-03 03:25:00,28,Plastic Resin
DEF-00043,M001,2025-05-03 03:30:00,17,Reprocessed Plastics
DEF-00044,M001,2025-05-03 03:35:00,34,Coolant
DEF-00045,M001,2025-05-03 04:05:00,22,Scrap Steel
DEF-00046,M001,2025-05-03 04:30:00,11,Scrap Steel
DEF-00047,M001,2025-05-03 06:00:00,6,Reprocessed Plastics
DEF-00048,M001,2025-05-03 06:25:00,11,Coolant
DEF-00049,M001,2025-05-03 06:50:00,8,Steel
DEF-00050,M001,2025-05-03 08:15:00,24,Packaging
DEF-00051,M001,2025-05-03 09:00:00,17,Plastic Resin
DEF-00052,M001,2025-05-03 09:35:00,24,Solvent
DEF-00053,M001,2025-05-03 10:20:00,2,Lead-Based Alloy
DEF-00054,M001,2025-05-03 16:40:00,1,Aluminum
DEF-00055,M001,2025-05-03 17:05:00,15,Sheet Metal
DEF-00056,M001,2025-05-03 17:50:00,30,Machine Component
DEF-00057,M001,2025-05-03 19:10:00,25,Scrap Steel
DEF-00058,M001,2025-05-03 19:20:00,20,Scrap Steel
DEF-00059,M001,2025-05-03 19:50:00,30,Textiles
DEF-00060,M001,2025-05-03 20:00:00,3,Cotton
DEF-00061,M001,2025-05-03 20:45:00,11,Solvent
DEF-00062,M001,2025-05-03 21:35:00,13,Aluminum
DEF-00063,M001,2025-05-03 21:40:00,38,Plastic Resin
DEF-00064,M001,2025-05-03 22:15:00,1,Catalyst
DEF-00065,M001,2025-05-03 23:25:00,15,Solvent
DEF-00066,M001,2025-05-04 00:35:00,6,Coolant
DEF-00067,M001,2025-05-04 01:30:00,36,Sheet Metal
DEF-00068,M001,2025-05-04 02:30:00,46,Machine Component
DEF-00069,M001,2025-05-04 03:40:00,25,Solvent
DEF-00070,M001,2025-05-04 03:55:00,37,Plastic Resin
DEF-00071,M001,2025-05-04 05:05:00,0,Packaging
DEF-00072,M001,2025-05-04 08:55:00,15,Textiles
DEF-00073,M001,2025-05-04 09:55:00,29,Solvent
DEF-00074,M001,2025-05-04 10:35:00,38,Coolant
DEF-00075,M001,2025-05-04 11:40:00,18,Steel
DEF-00076,M001,2025-05-04 12:25:00,1,Steel
DEF-00077,M001,2025-05-04 12:45:00,15,Reprocessed Plastics
DEF-00078,M001,2025-05-04 14:10:00,31,Aluminum
DEF-00079,M001,2025-05-04 14:50:00,4,Lead-Based Alloy
DEF-00080,M001,2025-05-04 16:10:00,1,Circuit Board
DEF-00081,M001,2025-05-04 16:25:00,9,Cotton
DEF-00082,M001,2025-05-04 17:15:00,15,Textiles
DEF-00083,M001,2025-05-04 17:55:00,0,Reprocessed Plastics
DEF-00084,M001,2025-05-04 18:15:00,7,Scrap Steel
DEF-00085,M001,2025-05-04 18:30:00,10,Machine Component
DEF-00086,M001,2025-05-04 19:10:00,18,Plastic Resin
DEF-00087,M001,2025-05-04 20:10:00,19,Reprocessed Plastics
DEF-00088,M001,2025-05-04 20:30:00,1,Packaging
DEF-00089,M001,2025-05-04 21:30:00,21,Machine Component
DEF-00090,M001,2025-05-04 22:50:00,5,Plastic Resin
DEF-00091,M001,2025-05-05 00:25:00,37,Sheet Metal
DEF-00092,M001,2025-05-05 00:35:00,23,Polypropylene
DEF-00093,M001,2025-05-05 01:15:00,13,Packaging
DEF-00094,M001,2025-05-05 02:15:00,4,Lead-Based Alloy
DEF-00095,M001,2025-05-05 02:45:00,7,Coolant
DEF-00096,M001,2025-05-05 04:00:00,22,Lead-Based Alloy
DEF-00097,M001,2025-05-05 04:35:00,29,Sheet Metal
DEF-00098,M001,2025-05-05 08:20:00,8,Scrap Steel
DEF-00099,M001,2025-05-05 10:45:00,1,Lead-Based Alloy
DEF-00100,M001,2025-05-05 11:00:00,10,Coolant
DEF-00101,M001,2025-05-05 13:25:00,8,Coolant
DEF-00102,M001,2025-05-05 14:20:00,3,Reprocessed Plastics
DEF-00103,M001,2025-05-05 14:25:00,3,Reprocessed Plastics
DEF-00104,M001,2025-05-05 15:10:00,18,Scrap Steel
DEF-00105,M001,2025-05-05 16:00:00,31,Machine Component
DEF-00106,M001,2025-05-05 19:05:00,9,Cotton
DEF-00107,M001,2025-05-05 19:10:00,15,Polypropylene
DEF-00108,M001,2025-05-05 19:35:00,4,Packaging
