maintenance_id,machine_id,maintenance_date,maintenance_type,status
MNT-00001,MAC-01,2014-06-01 06:00:00,Preventive,Completed
MNT-00002,MAC-01,2014-07-16 06:00:00,Preventive,Completed
MNT-00003,MAC-01,2014-07-31 06:00:00,Preventive,Completed
MNT-00004,MAC-01,2014-12-13 06:00:00,Preventive,Completed
MNT-00005,MAC-01,2015-01-05 06:00:00,Preventive,Completed
MNT-00006,MAC-01,2015-01-05 06:00:00,Preventive,Completed
MNT-00007,MAC-01,2015-01-05 06:00:00,Corrective,Completed
MNT-00008,MAC-01,2015-01-20 06:00:00,Preventive,Completed
MNT-00009,MAC-01,2015-01-20 06:00:00,Preventive,Completed
MNT-00010,MAC-01,2015-02-04 06:00:00,Preventive,Completed
MNT-00011,MAC-01,2015-02-04 06:00:00,Preventive,Completed
MNT-00012,MAC-01,2015-02-19 06:00:00,Preventive,Completed
MNT-00013,MAC-01,2015-03-06 06:00:00,Preventive,Completed
MNT-00014,MAC-01,2015-03-06 06:00:00,Corrective,Completed
MNT-00015,MAC-01,2015-03-21 06:00:00,Preventive,Completed
MNT-00016,MAC-01,2015-04-05 06:00:00,Preventive,Completed
MNT-00017,MAC-01,2015-04-20 06:00:00,Preventive,Completed
MNT-00018,MAC-01,2015-04-20 06:00:00,Corrective,Completed
MNT-00019,MAC-01,2015-05-05 06:00:00,Preventive,Completed
MNT-00020,MAC-01,2015-05-05 06:00:00,Preventive,Completed
MNT-00021,MAC-01,2015-05-20 06:00:00,Preventive,Completed
MNT-00022,MAC-01,2015-06-04 06:00:00,Preventive,Completed
MNT-00023,MAC-01,2015-06-19 06:00:00,Preventive,Completed
MNT-00024,MAC-01,2015-06-19 06:00:00,Preventive,Completed
MNT-00025,MAC-01,2015-06-19 06:00:00,Corrective,Completed
MNT-00026,MAC-01,2015-07-04 06:00:00,Preventive,Completed
MNT-00027,MAC-01,2015-07-19 06:00:00,Preventive,Completed
MNT-00028,MAC-01,2015-08-03 06:00:00,Preventive,Completed
MNT-00029,MAC-01,2015-09-02 06:00:00,Preventive,Completed
MNT-00030,MAC-01,2015-09-02 06:00:00,Preventive,Completed
MNT-00031,MAC-01,2015-09-02 06:00:00,Corrective,Completed
MNT-00032,MAC-01,2015-09-17 06:00:00,Preventive,Completed
MNT-00033,MAC-01,2015-10-02 06:00:00,Preventive,Completed
MNT-00034,MAC-01,2015-10-02 06:00:00,Preventive,Completed
MNT-00035,MAC-01,2015-10-17 06:00:00,Preventive,Completed
MNT-00036,MAC-01,2015-10-17 06:00:00,Preventive,Completed
MNT-00037,MAC-01,2015-10-17 06:00:00,Corrective,Completed
MNT-00038,MAC-01,2015-11-01 06:00:00,Preventive,Completed
MNT-00039,MAC-01,2015-11-01 06:00:00,Preventive,Completed
MNT-00040,MAC-01,2015-11-16 06:00:00,Preventive,Completed
MNT-00041,MAC-01,2015-12-01 06:00:00,Preventive,Completed
MNT-00042,MAC-01,2015-12-16 06:00:00,Preventive,Completed
MNT-00043,MAC-01,2015-12-16 06:00:00,Corrective,Completed
MNT-00044,MAC-01,2015-12-31 06:00:00,Preventive,Completed
MNT-00045,MAC-02,2014-06-16 06:00:00,Preventive,Completed
MNT-00046,MAC-02,2014-07-16 06:00:00,Preventive,Completed
MNT-00047,MAC-02,2014-08-15 06:00:00,Preventive,Completed
MNT-00048,MAC-02,2014-11-28 06:00:00,Preventive,Completed
MNT-00049,MAC-02,2015-01-18 06:00:00,Preventive,Completed
MNT-00050,MAC-02,2015-02-02 06:00:00,Preventive,Completed
MNT-00051,MAC-02,2015-02-17 06:00:00,Preventive,Completed
MNT-00052,MAC-02,2015-03-04 06:00:00,Preventive,Completed
MNT-00053,MAC-02,2015-03-19 06:00:00,Preventive,Completed
MNT-00054,MAC-02,2015-03-19 06:00:00,Preventive,Completed
MNT-00055,MAC-02,2015-03-19 06:00:00,Corrective,Completed
MNT-00056,MAC-02,2015-03-19 06:00:00,Corrective,Completed
MNT-00057,MAC-02,2015-04-03 06:00:00,Preventive,Completed
MNT-00058,MAC-02,2015-04-18 06:00:00,Preventive,Completed
MNT-00059,MAC-02,2015-04-18 06:00:00,Corrective,Completed
MNT-00060,MAC-02,2015-05-03 06:00:00,Preventive,Completed
MNT-00061,MAC-02,2015-05-18 06:00:00,Preventive,Completed
MNT-00062,MAC-02,2015-06-02 06:00:00,Preventive,Completed
MNT-00063,MAC-02,2015-06-17 06:00:00,Preventive,Completed
MNT-00064,MAC-02,2015-06-17 06:00:00,Preventive,Completed
MNT-00065,MAC-02,2015-07-02 06:00:00,Preventive,Completed
MNT-00066,MAC-02,2015-07-17 06:00:00,Preventive,Completed
MNT-00067,MAC-02,2015-07-17 06:00:00,Preventive,Completed
MNT-00068,MAC-02,2015-08-01 06:00:00,Preventive,Completed
MNT-00069,MAC-02,2015-08-16 06:00:00,Preventive,Completed
MNT-00070,MAC-02,2015-08-31 06:00:00,Preventive,Completed
MNT-00071,MAC-02,2015-08-31 06:00:00,Preventive,Completed
MNT-00072,MAC-02,2015-10-15 06:00:00,Preventive,Completed
