machine_id,log_date,uptime_percentage,downtime_hours
MAC-01,2015-01-01,83.33,4.0
MAC-01,2015-01-02,91.67,2.0
MAC-01,2015-01-03,62.5,9.0
MAC-01,2015-01-04,58.33,10.0
MAC-01,2015-01-05,58.33,10.0
MAC-01,2015-01-06,75.0,6.0
MAC-01,2015-01-07,95.83,1.0
MAC-01,2015-01-08,87.5,3.0
MAC-01,2015-01-09,79.17,5.0
MAC-01,2015-01-10,83.33,4.0
MAC-01,2015-01-11,66.67,8.0
MAC-01,2015-01-12,79.17,5.0
MAC-01,2015-01-13,79.17,5.0
MAC-01,2015-01-14,75.0,6.0
MAC-01,2015-01-15,70.83,7.0
MAC-01,2015-01-16,66.67,8.0
MAC-01,2015-01-17,41.67,14.0
MAC-01,2015-01-18,75.0,6.0
MAC-01,2015-01-19,83.33,4.0
MAC-01,2015-01-20,75.0,6.0
MAC-01,2015-01-21,70.83,7.0
MAC-01,2015-01-22,75.0,6.0
MAC-01,2015-01-23,83.33,4.0
MAC-01,2015-01-24,91.67,2.0
MAC-01,2015-01-25,83.33,4.0
MAC-01,2015-01-26,66.67,8.0
MAC-01,2015-01-27,50.0,12.0
MAC-01,2015-01-28,66.67,8.0
MAC-01,2015-01-29,87.5,3.0
MAC-01,2015-01-30,66.67,8.0
MAC-01,2015-01-31,75.0,6.0
MAC-01,2015-02-01,79.17,5.0
MAC-01,2015-02-02,87.5,3.0
MAC-01,2015-02-03,75.0,6.0
MAC-01,2015-02-04,95.83,1.0
MAC-01,2015-02-05,83.33,4.0
MAC-01,2015-02-06,75.0,6.0
MAC-01,2015-02-07,79.17,5.0
MAC-01,2015-02-08,91.67,2.0
MAC-01,2015-02-09,91.67,2.0
MAC-01,2015-02-10,87.5,3.0
MAC-01,2015-02-11,70.83,7.0
MAC-01,2015-02-12,87.5,3.0
MAC-01,2015-02-13,91.67,2.0
MAC-01,2015-02-14,91.67,2.0
MAC-01,2015-02-15,70.83,7.0
MAC-01,2015-02-16,70.83,7.0
